  probclr   probfeed   va1    pa1   va2   sa   vb1    pb1   vb2   sb   id     t   d     v     f
        34        1       100  1.0    .  354     25  1.00   .   17   1  177  2     59   -149
        34        1       100  1.0    .  354     25  1.00   .   17   1  178  2     36    129
        34        1       100  1.0    .  354     25  1.00   .   17   1  179  2     25    181
        34        1       100  1.0    .  354     25  1.00   .   17   1  180  1    -17     23
        34        1       100  1.0    .  354     25  1.00   .   17   1  181  1     -2     20
        34        1       100  1.0    .  354     25  1.00   .   17   1  182  1    -77     23
        34        1       100  1.0    .  354     25  1.00   .   17   1  183  2      3   -345
        34        1       100  1.0    .  354     25  1.00   .   17   1  184  2     27   -203
        34        1       100  1.0    .  354     25  1.00   .   17   1  185  2     54    227
        34        1       100  1.0    .  354     25  1.00   .   17   1  186  2     22    328
        34        1       100  1.0    .  354     25  1.00   .   17   1  187  2      5   -118
        34        1       100  1.0    .  354     25  1.00   .   17   1  188  1    492     34
        34        1       100  1.0    .  354     25  1.00   .   17   1  189  1   -193     42
        34        1       100  1.0    .  354     25  1.00   .   17   1  190  2     25     86
        34        1       100  1.0    .  354     25  1.00   .   17   1  191  1    110     22
        34        1       100  1.0    .  354     25  1.00   .   17   1  192  1    623     11
        34        1       100  1.0    .  354     25  1.00   .   17   1  193  2     38     82
        34        1       100  1.0    .  354     25  1.00   .   17   1  194  2     28   -454
        34        1       100  1.0    .  354     25  1.00   .   17   1  195  2     25     57
        34        1       100  1.0    .  354     25  1.00   .   17   1  196  2      0     98
        34        1       100  1.0    .  354     25  1.00   .   17   1  197  1     24     15
        34        1       100  1.0    .  354     25  1.00   .   17   1  198  1    148     22
        34        1       100  1.0    .  354     25  1.00   .   17   1  199  1   -528     24
        34        1       100  1.0    .  354     25  1.00   .   17   1  200  2     30     -8
        34        1       100  1.0    .  354     25  1.00   .   17   2    1  1   -298     32
        34        1       100  1.0    .  354     25  1.00   .   17   2    2  2     30      3
        34        1       100  1.0    .  354     25  1.00   .   17   2    3  2      0   -189
        34        1       100  1.0    .  354     25  1.00   .   17   2    4  2      8    348
        34        1       100  1.0    .  354     25  1.00   .   17   2    5  2      0   -142
        34        1       100  1.0    .  354     25  1.00   .   17   2    6  1    278     56
        34        1       100  1.0    .  354     25  1.00   .   17   2    7  1    -10      9
        34        1       100  1.0    .  354     25  1.00   .   17   2    8  1   -223     27
        34        1       100  1.0    .  354     25  1.00   .   17   2    9  1   -554     11
        34        1       100  1.0    .  354     25  1.00   .   17   2   10  1    437     57
        34        1       100  1.0    .  354     25  1.00   .   17   2   11  2      0    537
        34        1       100  1.0    .  354     25  1.00   .   17   2   12  2      4   -219
        34        1       100  1.0    .  354     25  1.00   .   17   2   13  2     13    -82
        34        1       100  1.0    .  354     25  1.00   .   17   2   14  2      6    406
        34        1       100  1.0    .  354     25  1.00   .   17   2   15  2     17   -190
        34        1       100  1.0    .  354     25  1.00   .   17   2   16  2     41    264
        34        1       100  1.0    .  354     25  1.00   .   17   2   17  2     29    726
        34        1       100  1.0    .  354     25  1.00   .   17   2   18  1   -181     29
        34        1       100  1.0    .  354     25  1.00   .   17   2   19  1    552     29
        34        1       100  1.0    .  354     25  1.00   .   17   2   20  1    423     46
        34        1       100  1.0    .  354     25  1.00   .   17   2   21  1    598     21
        34        1       100  1.0    .  354     25  1.00   .   17   2   22  2     57    304
        34        1       100  1.0    .  354     25  1.00   .   17   2   23  2      6   -231
        34        1       100  1.0    .  354     25  1.00   .   17   2   24  2      3    347
        34        1       100  1.0    .  354     25  1.00   .   17   2   25  2     26    320
        34        1       100  1.0    .  354     25  1.00   .   17   2   26  2      7    -25
        34        1       100  1.0    .  354     25  1.00   .   17   2   27  2     36   -230
        34        1       100  1.0    .  354     25  1.00   .   17   2   28  2     13   -186
        34        1       100  1.0    .  354     25  1.00   .   17   2   29  2     43    414
        34        1       100  1.0    .  354     25  1.00   .   17   2   30  2      0   -128
        34        1       100  1.0    .  354     25  1.00   .   17   2   31  2     29     80
        34        1       100  1.0    .  354     25  1.00   .   17   2   32  2     10    116
        34        1       100  1.0    .  354     25  1.00   .   17   2   33  2     44    182
        34        1       100  1.0    .  354     25  1.00   .   17   2   34  2     10     34
